deepcsv;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.12707) : (1.15171)) : (x<50 ? 1.19108:1.20421)) : (x<100 ? (x<80 ? (x<70 ? 1.18923:1.25229) : (1.29667)) : (x<120 ? 1.31546:1.41768))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.55078:1.60738) : (1.72092)) : (x<400 ? 1.81128:1.99381)) : (x<800 ? (x<670 ? 2.27262:1.87049) : (x<1000 ? 1.66227:0)))" 
1, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.968843) : (0.975963)) : (x<50 ? 0.976254:0.975961)) : (x<100 ? (x<80 ? (x<70 ? 0.975091:0.974914) : (0.971461)) : (x<120 ? 0.969862:0.970908))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.969273:0.964733) : (0.95966)) : (x<400 ? 0.947635:0.941404)) : (x<800 ? (x<670 ? 0.948027:0.894228) : (x<1000 ? 0.907702:0)))" 
1, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.976443) : (0.982185)) : (x<50 ? 0.973444:0.943998)) : (x<100 ? (x<80 ? (x<70 ? 0.935367:0.956488) : (0.951348)) : (x<120 ? 0.971987:0.969491))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.960798:0.97343) : (0.91659)) : (x<400 ? 0.946045:0.880075)) : (x<800 ? (x<670 ? 0.945429:0.814264) : (x<1000 ? 0.702704:0)))" 
1, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.12068) : (1.14359)) : (x<50 ? 1.18012:1.19008)) : (x<100 ? (x<80 ? (x<70 ? 1.17242:1.2309) : (1.27658)) : (x<120 ? 1.2885:1.38798))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.50595:1.53979) : (1.6304)) : (x<400 ? 1.69681:1.81833)) : (x<800 ? (x<670 ? 2.00969:1.48776) : (x<1000 ? 1.23789:0)))" 
1, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.973673) : (0.980388)) : (x<50 ? 0.980581:0.980407)) : (x<100 ? (x<80 ? (x<70 ? 0.979785:0.979969) : (0.975563)) : (x<120 ? 0.974922:0.975902))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.976617:0.976851) : (0.977172)) : (x<400 ? 0.971597:0.975965)) : (x<800 ? (x<670 ? 0.994638:0.980875) : (x<1000 ? 1.0341:0)))" 
1, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.993216) : (1.00491)) : (x<50 ? 1.0014:0.976304)) : (x<100 ? (x<80 ? (x<70 ? 0.972352:0.999491) : (0.986879)) : (x<120 ? 1.01684:1.00949))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.00997:1.04502) : (0.99958)) : (x<400 ? 1.05047:1.00859)) : (x<800 ? (x<670 ? 1.12752:1.15344) : (x<1000 ? 1.11843:0)))" 
1, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.13346) : (1.15982)) : (x<50 ? 1.20204:1.21834)) : (x<100 ? (x<80 ? (x<70 ? 1.20604:1.27368) : (1.31677)) : (x<120 ? 1.34241:1.44739))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.59561:1.67497) : (1.81143)) : (x<400 ? 1.92575:2.16929)) : (x<800 ? (x<670 ? 2.53555:2.25323) : (x<1000 ? 2.08665:0)))" 
2, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.950896) : (0.958394)) : (x<50 ? 0.959353:0.958448)) : (x<100 ? (x<80 ? (x<70 ? 0.955778:0.955566) : (0.95008)) : (x<120 ? 0.945759:0.94646))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.942255:0.934347) : (0.932293)) : (x<400 ? 0.925881:0.929301)) : (x<800 ? (x<670 ? 0.948008:0.901892) : (x<1000 ? 0.939906:0)))" 
2, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.966251) : (0.984005)) : (x<50 ? 0.952063:0.952599)) : (x<100 ? (x<80 ? (x<70 ? 0.966117:0.941871) : (0.938469)) : (x<120 ? 0.924225:0.914265))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.935661:0.90275) : (0.887136)) : (x<400 ? 0.972595:0.904411)) : (x<800 ? (x<670 ? 1.03071:0.670681) : (x<1000 ? 0.685196:0)))" 
2, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.07658) : (1.12902)) : (x<50 ? 1.1928:1.18776)) : (x<100 ? (x<80 ? (x<70 ? 1.1553:1.18785) : (1.2038)) : (x<120 ? 1.21042:1.27475))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.48341:1.5813) : (1.8026)) : (x<400 ? 2.58353:1.83249)) : (x<800 ? (x<670 ? 1.56342:0) : (x<1000 ? 2.0668:0)))" 
2, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.948342) : (0.956103)) : (x<50 ? 0.957128:0.95617)) : (x<100 ? (x<80 ? (x<70 ? 0.953383:0.952989) : (0.947994)) : (x<120 ? 0.943195:0.943926))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.938528:0.928199) : (0.923347)) : (x<400 ? 0.913531:0.911316)) : (x<800 ? (x<670 ? 0.923452:0.856589) : (x<1000 ? 0.871792:0)))" 
2, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.953101) : (0.965686)) : (x<50 ? 0.930181:0.926319)) : (x<100 ? (x<80 ? (x<70 ? 0.93513:0.908041) : (0.910547)) : (x<120 ? 0.890955:0.885234))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.898608:0.853173) : (0.826461)) : (x<400 ? 0.890913:0.808054)) : (x<800 ? (x<670 ? 0.880329:0.505941) : (x<1000 ? 0.429926:0)))" 
2, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.06329) : (1.11098)) : (x<50 ? 1.1674:1.15573)) : (x<100 ? (x<80 ? (x<70 ? 1.11838:1.14261) : (1.163)) : (x<120 ? 1.15653:1.21678))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.3844:1.4222) : (1.55925)) : (x<400 ? 2.11003:1.44743)) : (x<800 ? (x<670 ? 1.17069:0) : (x<1000 ? 0.560081:0)))" 
2, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.95345) : (0.960685)) : (x<50 ? 0.961578:0.960725)) : (x<100 ? (x<80 ? (x<70 ? 0.958172:0.958143) : (0.952166)) : (x<120 ? 0.948324:0.948994))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.945982:0.940494) : (0.941239)) : (x<400 ? 0.938231:0.947286)) : (x<800 ? (x<670 ? 0.972564:0.947195) : (x<1000 ? 1.00802:0)))" 
2, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.9794) : (1.00232)) : (x<50 ? 0.973944:0.978878)) : (x<100 ? (x<80 ? (x<70 ? 0.997104:0.975701) : (0.96639)) : (x<120 ? 0.957496:0.943295))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.972715:0.952326) : (0.947811)) : (x<400 ? 1.05428:1.00077)) : (x<800 ? (x<670 ? 1.1811:0.835421) : (x<1000 ? 0.940467:0)))" 
2, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.08987) : (1.14705)) : (x<50 ? 1.21819:1.21979)) : (x<100 ? (x<80 ? (x<70 ? 1.19222:1.23309) : (1.24459)) : (x<120 ? 1.2643:1.33271))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.58242:1.74039) : (2.04594)) : (x<400 ? 3.05702:2.21755)) : (x<800 ? (x<670 ? 1.95614:0) : (x<1000 ? 3.57351:0)))" 
