deepcsv;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.975477) : (0.97868)) : (x<50 ? 0.980386:0.981145)) : (x<100 ? (x<80 ? (x<70 ? 0.982972:0.98319) : (0.982824)) : (x<120 ? 0.984141:0.987152))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.991895:0.990886) : (0.997878)) : (x<400 ? 0.998267:1.00723)) : (x<800 ? (x<670 ? 1.00266:1.0037) : (x<1000 ? 0.988935:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03782) : (1.05446)) : (x<50 ? 1.05114:1.06026)) : (x<100 ? (x<80 ? (x<70 ? 1.05079:1.05762) : (1.045)) : (x<120 ? 1.07151:1.05854))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.08126:1.11255) : (1.12387)) : (x<400 ? 1.16567:1.25136)) : (x<800 ? (x<670 ? 1.28169:1.41657) : (x<1000 ? 1.23089:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.09725) : (1.1583)) : (x<50 ? 1.23112:1.26541)) : (x<100 ? (x<80 ? (x<70 ? 1.32135:1.31475) : (1.36542)) : (x<120 ? 1.41537:1.55197))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.73016:1.79603) : (2.0906)) : (x<400 ? 2.28068:2.54225)) : (x<800 ? (x<670 ? 2.81279:2.54235) : (x<1000 ? 6.03485:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.973036) : (0.976441)) : (x<50 ? 0.978186:0.978897)) : (x<100 ? (x<80 ? (x<70 ? 0.980613:0.980663) : (0.980775)) : (x<120 ? 0.981611:0.984668))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.988185:0.984614) : (0.9884)) : (x<400 ? 0.984636:0.9863)) : (x<800 ? (x<670 ? 0.974295:0.944425) : (x<1000 ? 0.903197:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03009) : (1.04432)) : (x<50 ? 1.03883:1.04555)) : (x<100 ? (x<80 ? (x<70 ? 1.03426:1.03877) : (1.02937)) : (x<120 ? 1.05203:1.04114))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.05915:1.08056) : (1.08278)) : (x<400 ? 1.11351:1.178)) : (x<800 ? (x<670 ? 1.18882:1.19912) : (x<1000 ? 1.00717:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.09288) : (1.15265)) : (x<50 ? 1.22329:1.25527)) : (x<100 ? (x<80 ? (x<70 ? 1.30856:1.29989) : (1.35166)) : (x<120 ? 1.3968:1.53197))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.70065:1.7527) : (2.02533)) : (x<400 ? 2.19484:2.41595)) : (x<800 ? (x<670 ? 2.63434:2.23822) : (x<1000 ? 4.7301:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.977918) : (0.98092)) : (x<50 ? 0.982586:0.983394)) : (x<100 ? (x<80 ? (x<70 ? 0.985331:0.985717) : (0.984873)) : (x<120 ? 0.986672:0.989635))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.995605:0.997157) : (1.00736)) : (x<400 ? 1.0119:1.02816)) : (x<800 ? (x<670 ? 1.03102:1.06298) : (x<1000 ? 1.07467:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.04555) : (1.06461)) : (x<50 ? 1.06345:1.07498)) : (x<100 ? (x<80 ? (x<70 ? 1.06732:1.07647) : (1.06063)) : (x<120 ? 1.091:1.07593))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.10336:1.14454) : (1.16496)) : (x<400 ? 1.21782:1.32472)) : (x<800 ? (x<670 ? 1.37457:1.63402) : (x<1000 ? 1.45461:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.10162) : (1.16396)) : (x<50 ? 1.23894:1.27555)) : (x<100 ? (x<80 ? (x<70 ? 1.33413:1.32962) : (1.37919)) : (x<120 ? 1.43394:1.57196))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.75967:1.83936) : (2.15588)) : (x<400 ? 2.36652:2.66855)) : (x<800 ? (x<670 ? 2.99124:2.84647) : (x<1000 ? 7.33959:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.932981) : (0.942202)) : (x<50 ? 0.944369:0.946183)) : (x<100 ? (x<80 ? (x<70 ? 0.946739:0.946108) : (0.944705)) : (x<120 ? 0.942296:0.945859))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.949931:0.945702) : (0.954803)) : (x<400 ? 0.957042:0.967685)) : (x<800 ? (x<670 ? 0.964214:0.969294) : (x<1000 ? 0.912047:0)))" 
